site	litho	imm.str	inc.str	imm.frt	inc.frt
1	GRUPPO VULCANICO ATESINO			335	13
1	GRUPPO VULCANICO ATESINO			310	35
1	GRUPPO VULCANICO ATESINO			314	32
1	GRUPPO VULCANICO ATESINO			336	27
1	GRUPPO VULCANICO ATESINO			312	15
1	GRUPPO VULCANICO ATESINO			339	18
1	GRUPPO VULCANICO ATESINO			325	8
1	GRUPPO VULCANICO ATESINO			310	20
1	GRUPPO VULCANICO ATESINO				
1	GRUPPO VULCANICO ATESINO			152	76
1	GRUPPO VULCANICO ATESINO			188	88
1	GRUPPO VULCANICO ATESINO			161	81
1	GRUPPO VULCANICO ATESINO			180	80
1	GRUPPO VULCANICO ATESINO			170	60
1	GRUPPO VULCANICO ATESINO				
1	GRUPPO VULCANICO ATESINO			17	84
1	GRUPPO VULCANICO ATESINO			24	78
1	GRUPPO VULCANICO ATESINO				
2	GRUPPO VULCANICO ATESINO			240	75
2	GRUPPO VULCANICO ATESINO			180	80
2	GRUPPO VULCANICO ATESINO				
3	GRUPPO VULCANICO ATESINO			280	65
3	GRUPPO VULCANICO ATESINO			228	16
3	GRUPPO VULCANICO ATESINO			291	34
3	GRUPPO VULCANICO ATESINO				
4	ARENARIE DELLA VAL GARDENA	105	17	265	32
4	ARENARIE DELLA VAL GARDENA	110	30		
4	ARENARIE DELLA VAL GARDENA	160	22		
4	ARENARIE DELLA VAL GARDENA	170	23		
4	ARENARIE DELLA VAL GARDENA				
5	ARENARIE DELLA VAL GARDENA	155	20		
5	ARENARIE DELLA VAL GARDENA	155	40		
5	ARENARIE DELLA VAL GARDENA				
6	MEMBRO DI SIUSI	313	17		
6	MEMBRO DI SIUSI				
7	MEMBRO DI SIUSI	320	31		
7	MEMBRO DI SIUSI	333	24		
7	MEMBRO DI SIUSI	345	19		
7	MEMBRO DI SIUSI	310	17		
7	MEMBRO DI SIUSI				
9	MEMBRO OLITE A GASTEROPODI	93	5		
9	MEMBRO OLITE A GASTEROPODI				
10	MEMBRO DI SIUSI	270	13		
10	MEMBRO DI SIUSI				
10	MEMBRO DI SIUSI				
11	MEMBRO DI SIUSI	130	5		
11	MEMBRO DI SIUSI				
16	FORMAZIONE A BELLEROPHON	25	12		
16	FORMAZIONE A BELLEROPHON	19	14		
16	FORMAZIONE A BELLEROPHON	37	11		
16	FORMAZIONE A BELLEROPHON	32	24		
16	FORMAZIONE A BELLEROPHON				
17	FORMAZIONE A BELLEROPHON	310	20		
17	FORMAZIONE A BELLEROPHON	355	24		
17	FORMAZIONE A BELLEROPHON	315	22		
17	FORMAZIONE A BELLEROPHON	333	22		
17	FORMAZIONE A BELLEROPHON	337	8		
17	FORMAZIONE A BELLEROPHON	310	10		
17	FORMAZIONE A BELLEROPHON				
18	FORMAZIONE A BELLEROPHON	355	12		
18	FORMAZIONE A BELLEROPHON	349	9		
18	FORMAZIONE A BELLEROPHON	345	12		
18	FORMAZIONE A BELLEROPHON	295	8		
18	FORMAZIONE A BELLEROPHON				
19	ARENARIE DELLA VAL GARDENA	266	24		
19	ARENARIE DELLA VAL GARDENA	267	40		
19	ARENARIE DELLA VAL GARDENA	258	32		
19	ARENARIE DELLA VAL GARDENA				
20	ARENARIE DELLA VAL GARDENA	287	12		
20	ARENARIE DELLA VAL GARDENA	270	11		
20	ARENARIE DELLA VAL GARDENA				
23	MEMBRO DI CAMPIL	86	44		
23	MEMBRO DI CAMPIL	79	36		
23	MEMBRO DI CAMPIL				
24	MEMBRO OLITE A GASTEROPODI	135	11		
24	MEMBRO OLITE A GASTEROPODI	130	3		
24	MEMBRO OLITE A GASTEROPODI	120	11		
24	MEMBRO OLITE A GASTEROPODI	67	43		
24	MEMBRO OLITE A GASTEROPODI	94	26		
24	MEMBRO OLITE A GASTEROPODI	120	28		
24	MEMBRO OLITE A GASTEROPODI				
25	MEMBRO DI SIUSI	155	28		
25	MEMBRO DI SIUSI	153	29		
25	MEMBRO DI SIUSI				
26	MEMBRO DI SIUSI	75	9		
26	MEMBRO DI SIUSI				
27	FORMAZIONE A BELLEROPHON	132	14		
27	FORMAZIONE A BELLEROPHON	129	5		
27	FORMAZIONE A BELLEROPHON	113	23		
27	FORMAZIONE A BELLEROPHON				
28	ARENARIE DELLA VAL GARDENA	42	12		
28	ARENARIE DELLA VAL GARDENA	46	14		
28	ARENARIE DELLA VAL GARDENA				
29	FORMAZIONE A BELLEROPHON	350	4		
29	FORMAZIONE A BELLEROPHON	365	10		
29	FORMAZIONE A BELLEROPHON				
30	FORMAZIONE A BELLEROPHON	345	10		
30	FORMAZIONE A BELLEROPHON	360	4		
30	FORMAZIONE A BELLEROPHON	355	6		
30	FORMAZIONE A BELLEROPHON	343	7		
