API gravity	Sulfur, wt. %
2.6	10.0
5.3	8.4
5.9	8.4
6.7	8.4
6.1	8.0
5.7	7.8
4.2	7.4
6.8	7.7
7.8	7.4
9.5	8.0
6.0	6.5
6.1	6.2
7.1	6.5
7.7	6.4
12.2	6.8
11.6	6.2
12.2	6.3
12.4	5.5
14.6	5.8
15.3	5.0
15.9	5.6
16.4	5.3
17.5	5.6
17.7	5.1
17.8	4.6
18.6	4.6
18.5	4.1
18.1	3.1
16.6	3.6
16.3	3.3
17.7	2.9
18.3	2.5
19.3	3.5
20.0	3.4
20.0	3.0
19.8	4.0
20.4	4.5
20.9	3.7
21.0	3.0
22.3	2.5
22.6	2.3
22.2	2.1
24.3	2.6
24.7	2.5
28.9	1.8
30.3	2.0
32.0	1.4
32.0	1.2
33.2	0.8
