Time interval	Temperature, °C
1	0.0449
2	0.0409
3	0.0390
4	0.0376
5	0.0370
6	0.0390
7	0.0403
8	0.0376
9	0.0363
10	0.0343
11	0.0343
12	0.0343
13	0.0337
14	0.0330
15	0.0310
16	0.0324
17	0.0343
18	0.0370
19	0.0409
20	0.0436
21	0.0423
22	0.0370
23	0.0376
24	0.0363
25	0.0383
26	0.0396
27	0.0423
28	0.0462
29	0.0443
30	0.0423
31	0.0383
32	0.0350
33	0.0330
34	0.0304
35	0.0291
36	0.0251
37	0.0211
38	0.0185
39	0.0159
40	0.0145
41	0.0165
42	0.0192
43	0.0218
44	0.0238
45	0.0258
46	0.0271
47	0.0284
48	0.0291
49	0.0297
50	0.0297
51	0.0317
52	0.0337
53	0.0357
54	0.0376
55	0.0396
56	0.0416
57	0.0409
58	0.0396
59	0.0383
60	0.0363
61	0.0363
62	0.0363
63	0.0350
64	0.0357
65	0.0363
66	0.0370
67	0.0363
68	0.0357
69	0.0343
70	0.0324
71	0.0310
72	0.0271
73	0.0251
74	0.0231
75	0.0211
76	0.0198
77	0.0178
78	0.0152
79	0.0165
80	0.0185
81	0.0205
82	0.0225
83	0.0244
84	0.0258
85	0.0271
86	0.0284
87	0.0297
88	0.0310
89	0.0310
90	0.0324
91	0.0343
92	0.0357
93	0.0376
94	0.0403
95	0.0429
96	0.0436
97	0.0429
98	0.0423
99	0.0396
100	0.0376
101	0.0350
102	0.0330
103	0.0304
104	0.0284
105	0.0271
106	0.0264
107	0.0264
108	0.0251
109	0.0231
110	0.0244
111	0.0264
112	0.0284
113	0.0304
114	0.0324
115	0.0330
116	0.0343
117	0.0330
118	0.0337
119	0.0310
120	0.0304
121	0.0310
122	0.0310
123	0.0304
124	0.0291
125	0.0304
126	0.0317
127	0.0330
128	0.0343
129	0.0363
130	0.0370
131	0.0383
132	0.0390
133	0.0390
134	0.0416
135	0.0429
136	0.0449
137	0.0462
138	0.0449
139	0.0436
140	0.0403
141	0.0383
142	0.0363
143	0.0337
144	0.0350
145	0.0376
146	0.0403
147	0.0416
148	0.0429
149	0.0462
150	0.0482
151	0.0522
152	0.0542
153	0.0548
154	0.0528
155	0.0495
156	0.0456
157	0.0416
158	0.0383
159	0.0357
160	0.0337
161	0.0304
162	0.0284
163	0.0271
164	0.0264
165	0.0277
166	0.0304
167	0.0330
168	0.0363
169	0.0396
170	0.0436
171	0.0469
172	0.0482
173	0.0443
174	0.0416
175	0.0403
176	0.0370
177	0.0390
178	0.0409
179	0.0443
180	0.0469
181	0.0495
182	0.0515
183	0.0528
184	0.0502
185	0.0482
186	0.0462
187	0.0449
188	0.0409
189	0.0390
190	0.0370
191	0.0357
192	0.0337
193	0.0324
194	0.0297
195	0.0271
196	0.0245
197	0.0225
198	0.0205
199	0.0198
200	0.0225
201	0.0264
202	0.0284
203	0.0317
204	0.0357
205	0.0376
206	0.0396
207	0.0409
208	0.0383
209	0.0370
210	0.0370
211	0.0396
212	0.0403
213	0.0403
214	0.0370
215	0.0370
216	0.0363
217	0.0396
218	0.0416
219	0.0436
220	0.0456
221	0.0476
222	0.0495
223	0.0522
224	0.0542
225	0.0515
226	0.0482
227	0.0449
228	0.0416
229	0.0409
230	0.0396
231	0.0363
232	0.0330
233	0.0304
234	0.0337
235	0.0357
236	0.0376
237	0.0396
238	0.0409
239	0.0429
240	0.0436
241	0.0416
242	0.0429
243	0.0396
244	0.0357
245	0.0343
246	0.0310
247	0.0297
248	0.0284
249	0.0304
250	0.0337
251	0.0363
252	0.0376
253	0.0396
254	0.0396
255	0.0403
256	0.0383
257	0.0363
258	0.0363
259	0.0350
260	0.0317
261	0.0297
262	0.0297
263	0.0317
264	0.0330
265	0.0343
266	0.0383
267	0.0363
268	0.0350
269	0.0350
270	0.0363
271	0.0357
272	0.0350
273	0.0370
274	0.0390
275	0.0383
276	0.0383
277	0.0363
278	0.0324
279	0.0304
280	0.0324
281	0.0357
282	0.0376
283	0.0403
284	0.0429
285	0.0449
286	0.0442
287	0.0436
288	0.0396
289	0.0383
290	0.0416
291	0.0429
292	0.0462
293	0.0456
294	0.0370
295	0.0363
296	0.0337
297	0.0297
298	0.0297
299	0.0343
300	0.0310
301	0.0277
302	0.0264
303	0.0244
304	0.0264
305	0.0284
306	0.0304
307	0.0323
308	0.0357
309	0.0383
310	0.0376
311	0.0370
312	0.0409
313	0.0383
314	0.0370
315	0.0363
316	0.0383
317	0.0396
318	0.0350
319	0.0310
320	0.0277
321	0.0257
322	0.0218
323	0.0205
324	0.0231
325	0.0264
326	0.0297
327	0.0330
328	0.0370
329	0.0403
330	0.0429
331	0.0470
332	0.0489
333	0.0449
334	0.0429
335	0.0396
336	0.0350
337	0.0323
338	0.0277
339	0.0264
340	0.0231
341	0.0224
342	0.0257
343	0.0291
344	0.0337
345	0.0350
346	0.0376
