X Axis	Y Axis	Type
21.97	6.56	1
25.59	8.41	1
36.90	7.79	1
42.01	4.10	1
17.91	10.05	1
16.42	10.87	1
12.37	10.66	1
13.44	12.30	2
15.14	12.71	1
18.98	12.10	1
22.82	11.69	2
74.00	3.49	1
76.99	2.67	1
78.91	4.10	1
82.75	6.15	1
7.46	21.12	1
7.68	26.24	1
7.46	46.33	1
7.25	77.49	1
19.41	17.22	1
13.86	19.48	1
23.25	15.79	1
21.97	19.27	1
22.82	19.89	1
30.28	15.17	1
30.92	14.15	2
33.06	15.58	1
36.47	18.25	1
37.32	19.27	2
38.82	20.71	2
40.31	20.91	2
44.15	21.94	1
44.57	23.78	1
43.08	23.78	2
48.84	25.63	2
50.55	26.86	2
51.40	27.47	2
55.02	28.70	1
57.58	23.17	1
48.41	12.51	1
53.96	13.33	1
60.14	13.12	1
60.57	15.79	1
71.02	23.17	1
73.79	29.32	1
23.46	15.99	1
25.38	17.43	1
27.94	18.86	1
26.02	19.27	1
30.07	21.32	2
37.54	24.19	2
39.67	24.60	1
39.67	26.24	1
44.15	28.70	1
48.20	29.73	2
47.99	31.98	1
50.12	31.78	1
55.88	32.39	1
57.80	33.42	1
59.50	35.06	2
61.42	36.70	2
62.91	37.31	2
64.62	36.90	1
64.83	37.93	2
67.82	37.52	2
70.17	37.11	1
73.58	36.49	1
71.66	38.54	2
73.36	38.75	2
75.71	38.34	1
77.20	38.34	1
79.12	37.52	1
83.60	38.13	1
84.88	43.67	2
81.90	43.26	1
80.83	42.85	2
79.98	41.82	1
74.43	41.41	1
71.87	41.62	2
70.59	40.59	1
68.03	41.21	2
70.59	43.05	1
65.47	40.39	2
65.26	41.82	1
66.75	42.64	1
65.05	38.75	1
63.34	37.31	1
61.42	36.70	1
50.97	31.78	2
47.35	29.73	1
45.43	28.09	2
44.15	28.70	1
39.88	25.42	1
33.91	23.58	1
30.07	21.32	1
27.94	18.66	1
26.23	19.07	1
25.17	17.43	1
23.25	15.99	1
17.06	16.81	1
19.41	18.04	2
23.03	19.48	1
24.53	22.35	2
25.59	23.78	1
20.47	20.91	2
21.33	23.58	1
22.61	27.47	1
16.64	23.58	1
21.11	33.83	1
25.17	32.80	1
31.14	31.57	1
27.73	38.54	1
31.78	36.29	1
40.09	36.70	1
46.07	34.85	1
48.84	34.65	1
47.77	36.49	1
51.40	40.59	1
55.88	40.59	1
57.80	38.54	1
58.44	40.80	1
59.72	39.98	1
59.93	41.41	1
61.85	41.41	1
65.26	42.23	1
67.18	42.44	1
75.71	42.44	2
79.12	45.51	1
80.62	47.15	1
81.68	47.77	1
84.88	51.87	1
79.12	51.25	1
75.07	48.79	1
74.86	46.95	1
72.73	48.18	1
70.59	47.97	2
70.59	49.00	2
68.46	49.20	2
67.39	49.82	1
67.39	48.18	2
67.18	46.33	1
65.26	46.13	1
60.57	45.31	1
50.76	40.80	1
39.67	36.90	1
48.84	53.51	1
55.66	59.04	1
86.80	74.01	2
87.65	75.03	2
50.55	71.14	1
47.35	75.85	1
50.33	78.31	1
38.39	62.12	1
38.39	56.17	1
30.92	55.15	1
32.84	52.28	1
22.61	69.70	1
7.25	77.29	1
26.66	53.92	2
28.15	51.05	1
26.87	50.23	2
26.66	48.38	1
25.17	47.36	2
23.25	47.15	1
26.02	44.69	1
26.02	42.03	1
24.74	42.03	1
24.53	43.46	2
22.39	42.85	2
24.31	39.98	1
23.67	38.95	1
27.73	38.75	1
21.54	39.98	2
19.19	39.16	2
22.82	38.13	1
22.18	37.11	2
20.69	36.29	1
18.98	35.88	1
68.46	55.56	1
72.51	54.33	1
72.3	57.61	1
79.12	56.58	1
75.71	60.07	2
74.00	61.91	1
77.63	62.53	2
80.83	61.50	2
82.96	59.04	1
85.31	64.99	1
80.19	66.63	1
88.08	77.08	1
