Latitude S	Longitude W	Depth, km
21.1	174.4	.
20.8	178.3	551
31.9	178.2	.
19.4	177.1	290
21.1	174	.
21.2	174.3	62
20	175.3	.
20.9	175.4	75
29.7	177.3	46
17.7	174.7	.
29.8	177	.
17.7	178.6	570
21.4	174.4	41
31.5	179	72
18	174.7	132
30.1	177.8	62
20.3	178.4	595
24	180	515
24.3	180	464
26.1	180.3	487
20.1	178.3	608
17.9	178.7	600
21.9	175	41
20.8	174.2	.
21	179.3	579
31.2	179.4	229
32.5	178.8	.
20.2	176.3	278
22.8	176.2	.
20.9	178.7	600
21.2	175.7	.
21.9	176	118
20.8	179.1	643
27.2	176.5	62
27.2	176.7	60
21.5	176.4	180
23.6	180.1	552
20.9	178.1	496
18	178	525
20.2	178.7	633
18.9	173.3	60
26.2	177.8	224
28.1	177.6	232
17.9	178.6	619
29.8	177.2	63
26.4	180.8	533
23.3	178.3	323
21.5	174.6	.
25.1	179.2	390
24.5	176.8	128
29.6	177.1	39
17.9	178.6	622
17.8	178.8	573
17.7	173	.
21.5	177	318
30.6	177.9	118
21.5	174	.
26.2	176.2	48
18.1	176.6	.
21.3	174.3	.
20	175.3	154
19.8	177.7	562
21.2	179.2	625
