Silica	Iron	Magnesium	Sodium + Potassium	Calcium	Aquifer
15.900	20.000	27.800	41.800	26.100	1
16.500	14.100	38.300	20.700	21.900	1
9.6000	15.600	10.000	32.300	44.500	1
11.500	15.200	34.800	21.400	29.400	1
12.000	21.300	38.900	34.600	7.3000	1
13.100	26.100	59.000	23.900	20.600	1
12.700	15.900	38.800	21.300	29.300	1
15.800	15.900	52.700	13.000	2.2000	1
11.600	19.800	30.800	17.900	24.400	1
11.200	17.200	22.300	41.000	28.000	1
8.2000	19.500	31.600	26.600	33.600	1
10.800	16.800	39.200	20.900	7.7000	1
10.800	8.2000	29.100	27.100	33.100	1
15.500	15.500	35.300	29.600	62.600	1
10.200	6.1000	32.600	35.000	60.300	1
9.6000	18.100	30.600	19.200	11.600	1
12.200	15.100	32.300	42.600	7.4000	1
8.9000	18.000	40.300	42.900	25.300	1
12.300	6.4000	37.300	35.500	18.300	1
12.700	16.800	27.600	50.900	7.5000	1
13.200	17.500	23.400	38.500	36.300	2
13.900	11.200	34.800	18.000	30.400	2
7.1000	13.500	7.8000	27.000	52.700	2
9.6000	13.200	31.300	17.300	36.500	2
10.600	19.000	35.800	32.500	18.000	2
10.200	23.400	56.800	19.600	27.900	2
10.000	14.700	35.100	18.100	37.700	2
13.100	13.100	47.300	10.100	4.6000	2
9.9000	18.400	26.600	14.100	34.900	2
9.8000	14.800	17.200	37.400	34.400	2
6.0000	16.600	26.100	21.100	40.800	2
8.2000	14.600	34.900	17.700	15.800	2
8.3000	6.6000	27.100	21.600	43.500	2
13.400	13.900	33.300	24.900	70.400	2
8.0000	4.6000	30.000	29.400	70.500	2
7.4000	16.100	28.200	17.200	17.500	2
9.4000	13.600	28.300	37.400	16.600	2
6.8000	15.600	36.600	37.800	30.700	2
10.300	4.7000	33.900	33.200	27.700	2
10.000	14.000	24.200	45.700	18.500	2
