X-Coordinate	Y-Coordinate	Porosity	Water Saturation	Thickness

1.86	4.629	10.9	0	25

2.362	4.874	12.3	0	35

2.097	4.611	12.7	10	24

1.55	4.437	9.1	0	28

1.863	4.37	14.1	25	18

2.112	4.371	11.6	13	32

2.175	4.317	11.2	4	35

2.233	4.253	13.3	0	42

1.421	4.075	12.3	0	25

1.634	4.136	15.2	8	27

1.88	4.126	14.7	26	20

2.096	4.129	13.3	16	35

1.386	3.884	13.9	0	25

1.613	3.885	17.2	27	26

1.841	3.883	14.7	33	25

2.113	3.881	12.4	16	33

1.388	3.63	6.8	0	25

1.61	3.628	13.4	38	29

1.861	3.627	13.7	40	32

2.088	3.627	13.9	29	35

2.358	3.627	14.5	9	44

0.862	3.63	2.4	0	25

1.365	3.381	13.1	6	25

1.614	3.382	14.5	37	27

1.863	3.38	13.2	24	28

2.088	3.38	11.9	15	30

1.342	3.27	13.4	10	26

1.177	3.131	12.1	2	23

1.363	3.131	13.8	18	26

1.614	3.13	13.6	31	28

1.862	3.132	11.5	23	31

2.117	3.129	12.5	9	25

0.614	2.882	10	0	23

1.118	2.883	12.4	5	23

1.363	2.88	14.7	17	27

1.614	2.881	11.7	21	33

1.861	2.882	11.5	22	35

1.924	2.943	11.5	23	33

2.113	2.878	11.4	13	34

2.363	2.621	10.6	0	45

0.868	2.63	10	0	20

1.151	2.628	12.8	8	27

1.362	2.628	12.1	16	28

1.615	2.631	10.6	19	34

1.862	2.629	11.5	22	37

2.088	2.626	10.8	11	40

1.14	2.381	11.4	10	23

1.373	2.38	11.4	16	27

1.615	2.378	11.7	19	29

1.862	2.379	11.3	21	43

2.127	2.388	10.5	18	41

2.363	2.377	10.3	8	38

2.612	2.377	10.3	0	35

1.142	2.127	10.7	10	34

1.364	2.129	11.1	13	30

1.616	2.127	10.5	19	30

1.864	2.127	13.9	22	39

2.092	2.124	10.6	22	35

2.363	2.125	9.9	18	34

2.612	2.124	10.5	6	43

0.896	1.878	8	1	25

1.121	1.878	10.9	8	32

1.369	1.88	11.7	14	41

1.676	1.937	11.2	18	30

1.866	1.88	11.7	20	35

2.116	1.881	10.4	19	35

2.339	1.875	10.4	14	47

0.89	1.627	12.8	0	28

1.123	1.626	11.5	8	38

1.369	1.627	11.6	12	39

1.614	1.628	11.6	16	35

1.867	1.627	11.1	20	33

2.117	1.626	10.3	19	32

0.887	1.396	18.2	3	27

1.157	1.371	11.3	8	34

1.372	1.373	11.5	10	37

1.616	1.374	10.9	15	34

1.868	1.386	11.3	29	32

2.057	1.432	10.6	0	31

1.137	1.133	10.8	8	34

1.373	1.122	11	9	37

1.616	1.123	10.5	11	29

1.867	1.121	11.9	14	37

1.121	0.872	8	5	30

1.4	0.874	11.1	7	32

1.592	0.899	10.5	12	33

1.849	0.872	10.4	13	36

1.12	0.616	9.5	4	26

1.397	0.619	9.7	4	28

1.623	0.639	10.2	15	33

1.852	0.643	10	0	41

1.374	0.371	9.7	5	32

1.621	0.4	9.8	0	36

1.375	0.143	8.7	0	36

